,0,1,2,3,4,5,6
0,0.00018636247188996694,8.190907084753326e-05,0.7639999999999999,113.98586456372063,0.52,1999-03-19,1999-05-28
1,0.00013292630432439675,6.128261171062512e-05,0.736,190.34986145101385,0.68,1999-06-01,1999-08-10
2,0.00017487735095633055,8.104127126531555e-05,0.7839999999999999,489.023815792526,0.58,1999-08-11,1999-10-20
3,7.770027434240955e-05,3.828473865852042e-05,0.732,198.6303315260594,0.62,1999-10-21,1999-12-31
4,0.0002384923255059991,0.00011046896568601896,0.63,342.68589688281793,0.68,2000-01-03,2000-03-14
5,0.0003490745188964443,0.0001831951505613182,0.7759999999999999,341.51401247861116,0.66,2000-03-15,2000-05-24
6,0.0001266514633667052,6.695863397737229e-05,0.69,240.82576221453252,0.66,2000-05-25,2000-08-04
7,0.00014513511801204682,5.2243347145933365e-05,0.828,417.85530077977523,0.66,2000-08-07,2000-10-16
8,0.0002486182314377432,0.00012519668443396103,0.606,297.4983035514539,0.62,2000-10-17,2000-12-27
9,0.00023038084678556455,7.497693287495327e-05,0.7699999999999999,195.28779438324594,0.62,2000-12-28,2001-03-12
10,0.00028616169063099987,0.0001557013582547103,0.6859999999999999,187.68661965357487,0.62,2001-03-13,2001-05-22
11,9.838602132914365e-05,5.315925748739527e-05,0.584,93.47220430934283,0.68,2001-05-23,2001-08-02
12,0.00022287716427102838,0.00012082391604009944,0.784,220.25290516776582,0.72,2001-08-03,2001-10-18
13,0.00010816664178256483,5.440673904489363e-05,0.69,738.9533919686228,0.6,2001-10-19,2001-12-31
14,0.0001390548596330231,7.829965288485202e-05,0.594,449.4693652580009,0.66,2002-01-02,2002-03-14
15,0.00015421187214033485,7.821608112033618e-05,0.63,122.44757482700489,0.56,2002-03-15,2002-05-24
16,0.0005080982151661118,0.00023538786931879996,0.708,915.3628707367462,0.58,2002-05-28,2002-08-06
17,0.0004952250126611497,0.00021569723447420735,0.7639999999999999,362.84988769710196,0.7,2002-08-07,2002-10-16
18,0.000176073990423158,8.483185982155823e-05,0.738,139.70835066035727,0.68,2002-10-17,2002-12-27
19,0.00022046701642099509,0.00010176520080438256,0.814,45692805365651.91,0.64,2002-12-30,2003-03-12
20,0.00014508396741465254,6.922544035486098e-05,0.6399999999999999,145.6385877664458,0.54,2003-03-13,2003-05-22
21,0.00011345281372143412,5.753679777699004e-05,0.768,143.42499647626957,0.64,2003-05-23,2003-08-04
22,7.133017377612344e-05,4.1689176987353545e-05,0.57,271.0248665645253,0.7,2003-08-05,2003-10-14
23,4.581445824787623e-05,2.3063558465897868e-05,0.762,134.59402024411628,0.62,2003-10-15,2003-12-24
24,5.151110690289971e-05,2.6120296148064077e-05,0.708,366.2617246886769,0.58,2003-12-26,2004-03-09
25,7.145369346492204e-05,3.550196510376287e-05,0.69,206.7243990788058,0.58,2004-03-10,2004-05-19
26,4.578236468098864e-05,2.2814608349714647e-05,0.728,195.27925085058624,0.66,2004-05-20,2004-08-02
27,5.196377149170532e-05,2.789699147425978e-05,0.688,234.91057998827415,0.72,2004-08-03,2004-10-12
28,4.145648663276238e-05,2.1145810209560855e-05,0.7919999999999999,587.4148269923046,0.7,2004-10-13,2004-12-22
29,4.5353961156975805e-05,2.3496759566219065e-05,0.73,223.84523029230505,0.7,2004-12-23,2005-03-07
30,7.194518447468942e-05,3.733025580056248e-05,0.7120000000000001,1252.37376793803,0.62,2005-03-08,2005-05-17
31,3.090703570269934e-05,1.671952650728628e-05,0.61,150.30788718999332,0.64,2005-05-18,2005-07-28
32,4.1593736151874884e-05,2.0545355928678482e-05,0.7879999999999999,332.05101691540096,0.54,2005-07-29,2005-10-07
33,4.8351722586854404e-05,2.499640285978983e-05,0.7419999999999999,694.7179249541608,0.58,2005-10-10,2005-12-19
34,4.474862534690564e-05,2.283231598626494e-05,0.7639999999999999,458.678636305244,0.56,2005-12-20,2006-03-03
35,3.517304158981104e-05,1.6379701181436298e-05,0.662,143.59180157031076,0.58,2006-03-06,2006-05-15
36,0.00010240387437677568,5.521132811931684e-05,0.778,1703.575484975002,0.56,2006-05-16,2006-07-26
37,2.6327130686065895e-05,1.3072718568709598e-05,0.748,146.82205074851117,0.66,2006-07-27,2006-10-05
38,2.406231969011719e-05,1.297196636493876e-05,0.65,725.5955997931728,0.66,2006-10-06,2006-12-15
